Gameweek,Home Team,Away Team,Score,True Result,Pred Result,Home Win %,Draw %,Away Win %,Log Loss,Brier Score,RPS
31,Leeds,Brentford,0-0,D,A,31.2%,31.4%,37.2%,1.1559,0.7061,0.1183
31,Newcastle,Sunderland,1-2,A,H,38.6%,30.7%,30.5%,1.1861,0.7268,0.3162
31,Aston Villa,West Ham,2-0,H,H,38.2%,28.4%,32.9%,0.9567,0.5699,0.2442
31,Tottenham,Nott'm Forest,0-3,A,A,32.5%,30.7%,36.5%,1.0054,0.6033,0.2542
31,West Ham,Wolves,4-0,H,H,37.8%,31.8%,30.1%,0.9704,0.5788,0.2385
32,Arsenal,Bournemouth,1-2,A,H,65.6%,21.3%,11.2%,2.1737,1.2802,0.6165
32,Brentford,Everton,2-2,D,A,33.7%,31.8%,34.2%,1.1429,0.6958,0.116
32,Burnley,Brighton,0-2,A,A,15.2%,24.9%,58.8%,0.5203,0.2516,0.0941
32,Liverpool,Fulham,2-0,H,H,44.5%,26.5%,28.1%,0.7998,0.4549,0.1917
32,Crystal Palace,Newcastle,2-1,H,A,30.0%,28.3%,41.1%,1.1981,0.7396,0.3292
32,Nott'm Forest,Aston Villa,1-1,D,A,27.4%,30.6%,41.7%,1.1804,0.7304,0.1252
32,Sunderland,Tottenham,1-0,H,H,46.7%,28.8%,24.0%,0.756,0.4232,0.1697
32,Chelsea,Man City,0-3,A,A,27.4%,26.6%,45.1%,0.7867,0.445,0.1865
32,Man United,Leeds,1-2,A,H,39.2%,30.6%,30.0%,1.2012,0.737,0.3216
32,Brentford,Fulham,0-0,D,H,38.1%,28.2%,33.1%,1.2593,0.7706,0.1289
33,Leeds,Wolves,3-0,H,H,51.2%,31.0%,17.5%,0.6668,0.3644,0.1338
33,Newcastle,Bournemouth,1-2,A,A,32.4%,26.3%,40.4%,0.8974,0.5282,0.2288
33,Tottenham,Brighton,2-2,D,A,16.1%,25.9%,57.2%,1.3433,0.9048,0.1794
33,Chelsea,Man United,0-1,A,A,32.6%,26.3%,40.1%,0.9034,0.5327,0.231
33,Aston Villa,Sunderland,4-3,H,H,34.6%,32.8%,32.5%,1.0604,0.641,0.2666
33,Everton,Liverpool,1-2,A,A,28.5%,30.2%,41.0%,0.8892,0.5206,0.2145
33,Nott'm Forest,Burnley,4-1,H,H,48.0%,29.0%,22.6%,0.7302,0.4048,0.1601
33,Man City,Arsenal,2-1,H,A,27.0%,29.3%,43.4%,1.3068,0.8078,0.3607
33,Crystal Palace,West Ham,0-0,D,A,33.8%,30.2%,35.7%,1.1952,0.7296,0.1217
33,Brighton,Chelsea,3-0,H,H,38.0%,31.1%,30.6%,0.9658,0.5754,0.239
34,Bournemouth,Leeds,2-2,D,A,32.8%,31.4%,35.6%,1.1555,0.7044,0.1175
34,Burnley,Man City,0-1,A,A,6.0%,12.5%,72.8%,0.2264,0.0642,0.0226
34,Sunderland,Nott'm Forest,0-5,A,H,38.0%,32.4%,29.3%,1.2242,0.7492,0.3219
34,Fulham,Aston Villa,1-0,H,A,35.1%,27.1%,37.1%,1.0406,0.6325,0.2789
34,Liverpool,Crystal Palace,3-1,H,H,50.0%,28.0%,21.5%,0.6885,0.3736,0.1473
34,West Ham,Everton,2-1,H,A,30.3%,30.5%,39.0%,1.1919,0.731,0.3188
34,Wolves,Tottenham,0-1,A,A,31.6%,27.6%,40.2%,0.9054,0.5329,0.2278
34,Arsenal,Newcastle,1-0,H,H,65.6%,19.0%,11.9%,0.3857,0.1563,0.0588
34,Man United,Brentford,2-1,H,H,43.0%,27.1%,29.1%,0.8368,0.4823,0.2038
34,Leeds,Burnley,3-1,H,H,67.5%,20.2%,10.1%,0.3706,0.1492,0.0533
35,Brentford,West Ham,3-0,H,H,41.1%,27.9%,30.5%,0.8839,0.5169,0.2192
35,Newcastle,Brighton,3-1,H,A,28.0%,28.5%,43.0%,1.2687,0.7856,0.3517
35,Wolves,Sunderland,1-1,D,A,24.8%,30.6%,44.4%,1.1829,0.741,0.13
35,Arsenal,Fulham,3-0,H,H,61.6%,24.3%,13.0%,0.474,0.2203,0.0799
35,Bournemouth,Crystal Palace,3-0,H,H,44.4%,29.2%,26.0%,0.8083,0.4615,0.1877
35,Man United,Liverpool,3-2,H,A,33.0%,26.1%,39.8%,1.0977,0.6756,0.303
35,Aston Villa,Tottenham,1-2,A,H,53.0%,23.9%,21.4%,1.5236,0.9613,0.4511
35,Chelsea,Nott'm Forest,1-3,A,H,35.5%,29.1%,35.0%,1.0459,0.6331,0.2738
35,Everton,Man City,3-3,D,A,22.2%,29.1%,48.3%,1.2302,0.7859,0.1425
35,Liverpool,Chelsea,1-1,D,H,53.4%,23.9%,21.1%,1.4165,0.9147,0.1705
36,Brighton,Wolves,3-0,H,H,65.3%,22.5%,10.8%,0.4128,0.1786,0.0632
36,Fulham,Bournemouth,0-1,A,A,31.0%,28.3%,40.2%,0.9067,0.5335,0.2261
36,Sunderland,Man United,0-0,D,A,25.9%,27.0%,46.3%,1.3027,0.8165,0.1431
36,Man City,Brentford,3-0,H,H,57.0%,23.1%,18.1%,0.5433,0.2649,0.1048
36,Burnley,Aston Villa,2-2,D,A,21.2%,23.4%,53.6%,1.4335,0.9243,0.1722
36,Crystal Palace,Everton,2-2,D,A,29.0%,30.8%,40.0%,1.1741,0.7221,0.1224
36,Nott'm Forest,Newcastle,1-1,D,H,43.0%,26.2%,29.8%,1.3293,0.82,0.1396
36,West Ham,Arsenal,0-1,A,A,14.5%,23.2%,60.8%,0.4824,0.2235,0.0841
36,Tottenham,Leeds,1-1,D,A,23.1%,27.4%,48.8%,1.288,0.8202,0.1479
36,Man City,Crystal Palace,3-0,H,H,66.1%,20.7%,11.0%,0.392,0.1627,0.0589
37,Aston Villa,Liverpool,4-2,H,A,30.4%,24.3%,43.6%,1.1732,0.7347,0.3368
37,Man United,Nott'm Forest,3-2,H,H,44.8%,28.2%,26.4%,0.7971,0.4529,0.1861
37,Brentford,Crystal Palace,2-2,D,H,51.7%,26.6%,20.9%,1.316,0.8513,0.1579
37,Everton,Sunderland,1-3,A,H,50.7%,27.5%,21.1%,1.5476,0.9571,0.4403
37,Leeds,Brighton,1-0,H,H,39.3%,31.8%,28.7%,0.9318,0.5516,0.225
37,Wolves,Fulham,1-1,D,A,23.4%,29.8%,46.4%,1.2074,0.7638,0.1362
37,Newcastle,West Ham,3-1,H,H,49.6%,25.0%,24.1%,0.6882,0.3713,0.1536
37,Arsenal,Burnley,1-0,H,H,76.4%,9.2%,3.0%,0.1486,0.031,0.0101
37,Bournemouth,Man City,1-1,D,A,27.0%,26.7%,45.5%,1.3118,0.8182,0.1422
37,Chelsea,Tottenham,2-1,H,H,49.4%,24.8%,24.5%,0.6914,0.3737,0.1553
38,Brighton,Man United,0-3,A,H,42.6%,28.7%,28.1%,1.2629,0.7813,0.3489
38,Burnley,Wolves,1-1,D,H,46.5%,27.7%,25.2%,1.2764,0.8027,0.1414
38,Crystal Palace,Arsenal,1-2,A,A,14.3%,25.8%,59.1%,0.5177,0.2517,0.092
38,Fulham,Newcastle,2-0,H,A,31.5%,27.2%,40.6%,1.1481,0.7084,0.3167
38,Liverpool,Brentford,1-1,D,H,49.9%,22.4%,25.0%,1.4696,0.9221,0.1646
38,Man City,Aston Villa,1-2,A,H,64.8%,18.1%,12.5%,2.0337,1.2529,0.6084
38,Nott'm Forest,Bournemouth,1-1,D,H,35.9%,28.7%,34.9%,1.2419,0.7587,0.1265
38,Sunderland,Chelsea,2-1,H,H,39.1%,28.4%,32.0%,0.9342,0.5535,0.236
38,Tottenham,Everton,1-0,H,A,35.1%,26.4%,37.6%,1.0382,0.6322,0.2806
38,West Ham,Leeds,3-0,H,A,26.2%,30.2%,43.2%,1.3348,0.8228,0.3654
