Gameweek,Home Team,Away Team,Score,True Result,Pred Result,Home Win %,Draw %,Away Win %,Log Loss,Brier Score,RPS
11,Chelsea,Wolves,3-0,H,H,67.2%,16.8%,10.6%,0.3417,0.1278,0.0481
11,Aston Villa,Bournemouth,4-0,H,H,43.1%,26.1%,29.8%,0.8315,0.4788,0.2046
11,Brentford,Newcastle,3-1,H,H,38.9%,24.7%,34.9%,0.9302,0.5554,0.2462
11,Crystal Palace,Brighton,0-0,D,H,45.8%,25.5%,27.5%,1.3544,0.8428,0.1462
11,Nott'm Forest,Leeds,3-1,H,A,22.7%,34.6%,42.6%,1.4818,0.8989,0.3894
11,Man City,Liverpool,3-0,H,H,50.2%,24.5%,23.8%,0.6749,0.3614,0.1497
12,Burnley,Chelsea,0-2,A,A,22.6%,23.1%,52.2%,0.6298,0.3276,0.1359
12,Bournemouth,West Ham,2-2,D,H,57.0%,20.3%,18.9%,1.5543,1.0113,0.1947
12,Brighton,Brentford,2-1,H,H,50.9%,22.1%,24.1%,0.6466,0.3403,0.1442
12,Fulham,Sunderland,1-0,H,H,35.4%,30.1%,34.1%,1.0339,0.6237,0.2663
12,Liverpool,Nott'm Forest,0-3,A,H,68.2%,16.4%,9.9%,2.2597,1.3532,0.6615
12,Wolves,Crystal Palace,0-2,A,A,24.8%,26.6%,47.7%,0.731,0.4035,0.1658
12,Newcastle,Man City,2-1,H,A,25.9%,24.1%,48.3%,1.3337,0.8442,0.3922
12,Leeds,Aston Villa,1-2,A,H,40.8%,31.9%,27.2%,1.3011,0.7984,0.3483
12,Arsenal,Tottenham,4-1,H,H,69.8%,16.7%,8.9%,0.3129,0.1116,0.0405
12,Man United,Everton,0-1,A,H,52.5%,26.7%,20.1%,1.5972,0.988,0.4579
13,Brentford,Burnley,3-1,H,H,62.1%,19.4%,14.6%,0.4369,0.1892,0.0742
13,Man City,Leeds,3-2,H,H,58.4%,26.8%,14.2%,0.5324,0.2636,0.0954
13,Sunderland,Bournemouth,3-2,H,H,47.4%,28.1%,24.0%,0.7407,0.4115,0.166
13,Everton,Newcastle,1-4,A,A,32.4%,30.3%,37.0%,0.9916,0.5937,0.2506
13,Tottenham,Fulham,1-2,A,H,52.3%,22.8%,22.6%,1.4628,0.9312,0.4383
13,Crystal Palace,Man United,1-2,A,H,50.0%,26.6%,22.6%,1.4777,0.9214,0.4248
13,Aston Villa,Wolves,1-0,H,H,69.7%,16.0%,8.8%,0.3043,0.1061,0.0388
13,Nott'm Forest,Brighton,0-2,A,A,35.2%,26.6%,37.4%,0.9762,0.5864,0.2571
13,West Ham,Liverpool,0-2,A,A,28.5%,23.4%,45.9%,0.7565,0.4238,0.1833
13,Chelsea,Arsenal,1-1,D,A,23.6%,27.9%,47.9%,1.2697,0.8052,0.1441
14,Bournemouth,Everton,0-1,A,H,50.3%,26.8%,22.1%,1.5037,0.9353,0.4311
14,Fulham,Man City,4-5,A,A,19.8%,24.5%,54.4%,0.5964,0.3039,0.121
14,Newcastle,Tottenham,2-2,D,H,52.2%,21.4%,23.1%,1.5079,0.9547,0.1742
14,Arsenal,Brentford,2-0,H,H,69.6%,18.1%,9.0%,0.3279,0.1216,0.0434
14,Brighton,Aston Villa,3-4,A,H,40.8%,27.0%,31.4%,1.152,0.7114,0.3186
14,Burnley,Crystal Palace,0-1,A,A,24.0%,27.3%,48.0%,0.7267,0.4007,0.1627
14,Wolves,Nott'm Forest,0-1,A,A,29.9%,28.3%,41.3%,0.8784,0.5127,0.216
14,Leeds,Chelsea,3-1,H,A,32.1%,32.0%,35.7%,1.1336,0.6904,0.2937
14,Liverpool,Sunderland,1-1,D,H,46.3%,28.4%,24.8%,1.252,0.7882,0.1391
14,Man United,West Ham,1-1,D,H,53.8%,22.9%,21.2%,1.4543,0.9364,0.1745
15,Aston Villa,Arsenal,2-1,H,A,21.1%,27.6%,50.7%,1.5487,0.9571,0.44
15,Bournemouth,Chelsea,0-0,D,A,31.9%,25.2%,41.6%,1.3638,0.8358,0.1409
15,Everton,Nott'm Forest,3-0,H,H,37.8%,33.1%,28.9%,0.9723,0.5808,0.2353
15,Man City,Sunderland,3-0,H,H,58.1%,23.5%,16.8%,0.5266,0.2537,0.0984
15,Newcastle,Burnley,2-1,H,H,67.7%,16.4%,10.2%,0.3323,0.1221,0.0458
15,Tottenham,Brentford,2-0,H,H,45.5%,23.9%,28.8%,0.7697,0.4335,0.1871
15,Leeds,Liverpool,3-3,D,H,38.0%,30.8%,30.9%,1.1744,0.7187,0.1206
15,Brighton,West Ham,1-1,D,H,56.9%,21.6%,18.8%,1.5049,0.9846,0.1897
15,Fulham,Crystal Palace,1-2,A,H,36.3%,29.3%,34.0%,1.076,0.6539,0.2836
15,Wolves,Man United,1-4,A,A,23.0%,26.2%,49.8%,0.6878,0.3715,0.1507
16,Chelsea,Everton,2-0,H,H,51.9%,29.0%,18.7%,0.6523,0.3498,0.1324
16,Liverpool,Brighton,2-0,H,H,51.2%,22.6%,23.7%,0.6442,0.3384,0.1423
16,Burnley,Fulham,2-3,A,A,29.1%,25.8%,44.0%,0.8091,0.4622,0.1972
16,Arsenal,Wolves,2-1,H,H,78.7%,8.9%,2.4%,0.1345,0.0264,0.0083
16,Crystal Palace,Man City,0-3,A,A,24.4%,26.0%,48.5%,0.7131,0.3901,0.1605
16,Nott'm Forest,Tottenham,3-0,H,A,29.7%,26.1%,43.2%,1.2054,0.7508,0.3406
16,Sunderland,Newcastle,1-0,H,H,39.7%,28.6%,31.2%,0.9189,0.5422,0.2298
16,West Ham,Aston Villa,2-3,A,A,25.0%,24.9%,48.8%,0.7042,0.3833,0.1598
16,Brentford,Leeds,1-1,D,H,35.3%,30.1%,34.4%,1.1982,0.7314,0.1219
16,Man United,Bournemouth,4-4,D,H,47.4%,25.0%,26.3%,1.3737,0.8594,0.1508
17,Newcastle,Chelsea,2-2,D,H,38.2%,26.7%,34.2%,1.3117,0.8015,0.1339
17,Bournemouth,Burnley,1-1,D,H,61.9%,19.4%,14.8%,1.6011,1.0764,0.2195
17,Brighton,Sunderland,0-0,D,H,39.6%,30.2%,29.9%,1.1948,0.7339,0.1239
17,Man City,West Ham,3-0,H,H,70.9%,11.6%,6.1%,0.2235,0.0621,0.0224
17,Wolves,Brentford,0-2,A,A,23.9%,25.7%,49.3%,0.6959,0.3772,0.1548
17,Tottenham,Liverpool,1-2,A,A,33.0%,24.2%,41.1%,0.8724,0.5121,0.2256
17,Everton,Arsenal,0-1,A,A,15.2%,29.4%,55.0%,0.5947,0.3116,0.1121
17,Leeds,Crystal Palace,4-1,H,H,43.2%,32.2%,24.4%,0.837,0.4853,0.1906
17,Aston Villa,Man United,2-1,H,H,58.8%,19.4%,17.3%,0.4849,0.2217,0.0903
17,Fulham,Nott'm Forest,1-0,H,H,49.0%,25.2%,24.6%,0.7005,0.3805,0.1577
18,Man United,Newcastle,1-0,H,H,40.1%,23.9%,34.1%,0.8951,0.53,0.2352
18,Nott'm Forest,Man City,1-2,A,A,12.6%,20.1%,64.5%,0.4093,0.1722,0.0648
18,Arsenal,Brighton,2-1,H,H,64.3%,22.6%,11.6%,0.4263,0.1869,0.0672
18,Brentford,Bournemouth,4-1,H,H,46.6%,25.2%,26.9%,0.7499,0.4177,0.1764
18,Burnley,Everton,0-0,D,A,29.7%,31.9%,38.2%,1.141,0.6983,0.1176
18,Liverpool,Wolves,2-1,H,H,73.3%,13.2%,6.1%,0.2341,0.0683,0.0239
18,West Ham,Fulham,0-1,A,A,35.8%,26.2%,37.0%,0.984,0.593,0.2616
18,Chelsea,Aston Villa,1-2,A,H,40.3%,26.8%,32.1%,1.1287,0.6958,0.3114
18,Sunderland,Leeds,1-1,D,H,34.9%,34.8%,30.3%,1.0558,0.6389,0.1068
18,Crystal Palace,Tottenham,0-1,A,H,42.8%,26.8%,29.6%,1.2075,0.7502,0.3386
19,Burnley,Newcastle,1-3,A,A,20.4%,24.8%,53.6%,0.6117,0.3151,0.1259
19,Chelsea,Bournemouth,2-2,D,H,56.4%,22.5%,18.9%,1.4705,0.9633,0.1851
19,Nott'm Forest,Everton,0-2,A,H,35.2%,35.1%,29.6%,1.2169,0.7431,0.3098
19,West Ham,Brighton,2-2,D,A,27.7%,27.4%,44.2%,1.2867,0.7997,0.1379
19,Arsenal,Aston Villa,4-1,H,H,51.4%,26.9%,20.9%,0.6574,0.3501,0.1383
19,Man United,Wolves,1-1,D,H,64.3%,20.3%,12.7%,1.5658,1.0794,0.2268
19,Crystal Palace,Fulham,1-1,D,H,36.7%,29.2%,33.7%,1.2262,0.7494,0.125
19,Liverpool,Leeds,0-0,D,H,41.8%,28.6%,29.2%,1.2476,0.7701,0.131
19,Brentford,Tottenham,0-0,D,H,44.3%,25.8%,28.8%,1.3425,0.8311,0.1426
19,Sunderland,Man City,0-0,D,A,19.0%,27.6%,52.8%,1.2811,0.8401,0.1592
20,Aston Villa,Nott'm Forest,3-1,H,H,58.7%,23.1%,16.5%,0.5158,0.2458,0.0954
20,Brighton,Burnley,2-0,H,H,58.7%,23.2%,16.5%,0.517,0.2468,0.0955
20,Wolves,West Ham,3-0,H,A,25.9%,28.3%,45.2%,1.3437,0.8337,0.3763
20,Bournemouth,Arsenal,2-3,A,A,10.8%,18.7%,67.1%,0.3643,0.1432,0.0528
20,Leeds,Man United,1-1,D,H,42.7%,29.8%,27.1%,1.2058,0.7485,0.1289
20,Everton,Brentford,2-4,A,A,28.6%,34.1%,37.1%,0.9897,0.5937,0.2385
20,Newcastle,Crystal Palace,2-0,H,H,43.7%,28.6%,27.2%,0.8237,0.4725,0.1949
20,Tottenham,Sunderland,1-1,D,A,30.5%,33.9%,35.5%,1.0801,0.6555,0.1097
20,Fulham,Liverpool,2-2,D,A,27.5%,26.6%,45.1%,1.3157,0.8189,0.1417
20,Man City,Chelsea,1-1,D,H,53.8%,24.4%,20.4%,1.3965,0.9068,0.1702
21,West Ham,Nott'm Forest,1-2,A,H,36.4%,28.9%,34.2%,1.0681,0.6491,0.2824
21,Bournemouth,Tottenham,3-2,H,H,37.5%,24.7%,36.3%,0.9666,0.5828,0.2599
21,Brentford,Sunderland,3-0,H,H,37.1%,32.6%,30.1%,0.9892,0.5922,0.2426
21,Crystal Palace,Aston Villa,0-0,D,A,24.0%,26.7%,48.5%,1.3138,0.8325,0.1489
21,Everton,Wolves,1-1,D,H,46.7%,30.9%,22.1%,1.1712,0.7444,0.1341
21,Fulham,Chelsea,2-1,H,A,29.5%,27.1%,42.7%,1.2136,0.7534,0.3394
21,Man City,Brighton,1-1,D,H,61.3%,21.3%,15.0%,1.5225,1.0294,0.209
21,Burnley,Man United,2-2,D,A,19.1%,24.8%,54.9%,1.3829,0.9073,0.173
21,Newcastle,Leeds,4-3,H,H,38.3%,29.9%,31.5%,0.9575,0.5696,0.2397
21,Arsenal,Liverpool,0-0,D,H,56.9%,24.4%,17.4%,1.396,0.9293,0.1816
22,Man United,Man City,2-0,H,A,21.2%,24.1%,53.2%,1.5366,0.9678,0.454
22,Chelsea,Brentford,2-0,H,H,39.8%,27.5%,32.0%,0.9136,0.5391,0.2313
22,Leeds,Fulham,1-0,H,H,45.0%,27.4%,27.0%,0.792,0.4489,0.1865
22,Liverpool,Burnley,1-1,D,H,70.0%,17.1%,8.8%,1.7231,1.2161,0.2707
22,Sunderland,Crystal Palace,2-1,H,H,38.4%,36.5%,25.0%,0.9571,0.5758,0.2211
22,Tottenham,West Ham,1-2,A,H,55.3%,23.6%,19.4%,1.6212,1.0174,0.4798
22,Nott'm Forest,Arsenal,0-0,D,A,11.6%,23.0%,64.1%,1.458,1.0251,0.2182
22,Wolves,Newcastle,0-0,D,A,18.8%,22.6%,56.5%,1.466,0.9618,0.1851
22,Aston Villa,Everton,0-1,A,H,57.4%,25.2%,16.3%,1.8022,1.0988,0.5169
22,Brighton,Bournemouth,1-1,D,H,48.4%,23.0%,26.4%,1.4474,0.9028,0.1589
23,West Ham,Sunderland,3-1,H,A,23.2%,30.5%,46.1%,1.4603,0.8966,0.4017
23,Burnley,Tottenham,2-2,D,A,25.6%,26.9%,46.7%,1.3053,0.8196,0.1441
23,Fulham,Brighton,2-1,H,H,36.1%,28.3%,35.1%,1.0144,0.6117,0.2653
23,Man City,Wolves,2-0,H,H,67.3%,20.6%,10.1%,0.3753,0.1527,0.0542
23,Bournemouth,Liverpool,3-2,H,A,27.2%,23.9%,47.1%,1.285,0.8129,0.3768
23,Brentford,Nott'm Forest,0-2,A,H,51.3%,27.0%,20.9%,1.5564,0.9641,0.4451
23,Crystal Palace,Chelsea,1-3,A,A,22.8%,30.5%,46.4%,0.7644,0.4314,0.1689
23,Newcastle,Aston Villa,0-2,A,H,36.9%,25.3%,36.5%,0.9938,0.6019,0.2681
23,Arsenal,Man United,2-3,A,H,56.8%,26.0%,16.4%,1.7977,1.0923,0.5118
23,Everton,Leeds,1-1,D,A,24.8%,34.2%,40.9%,1.0724,0.662,0.1146
24,Brighton,Everton,1-1,D,H,41.0%,32.7%,26.1%,1.115,0.6886,0.1185
24,Leeds,Arsenal,0-4,A,A,23.9%,31.4%,44.5%,0.8066,0.4626,0.1819
24,Wolves,Bournemouth,0-2,A,A,22.2%,24.3%,52.0%,0.6385,0.3343,0.1368
24,Chelsea,West Ham,3-2,H,H,61.8%,21.1%,14.6%,0.456,0.2033,0.0783
24,Liverpool,Newcastle,4-1,H,H,42.9%,26.1%,30.0%,0.8363,0.4825,0.2064
24,Aston Villa,Brentford,0-1,A,H,49.2%,25.4%,24.2%,1.409,0.8854,0.4096
24,Man United,Fulham,3-2,H,H,43.4%,26.0%,29.6%,0.8249,0.474,0.2025
24,Nott'm Forest,Crystal Palace,1-1,D,H,36.2%,32.9%,30.8%,1.1105,0.676,0.1132
24,Tottenham,Man City,2-2,D,A,17.8%,23.2%,57.3%,1.4435,0.9559,0.1862
24,Sunderland,Burnley,3-0,H,H,51.4%,28.8%,19.3%,0.6605,0.3552,0.1356
25,Leeds,Nott'm Forest,3-1,H,H,46.3%,30.1%,23.3%,0.7676,0.433,0.171
25,Man United,Tottenham,2-0,H,H,52.2%,22.8%,22.7%,0.627,0.3255,0.1355
25,Arsenal,Sunderland,3-0,H,H,59.4%,26.8%,13.2%,0.5146,0.252,0.0897
25,Bournemouth,Aston Villa,1-1,D,A,33.6%,24.1%,40.5%,1.4036,0.8559,0.1435
25,Burnley,West Ham,0-2,A,A,29.0%,25.4%,44.4%,0.8006,0.456,0.1949
25,Fulham,Everton,1-2,A,H,43.4%,30.8%,25.6%,1.361,0.8374,0.3711
25,Wolves,Chelsea,1-3,A,A,14.9%,25.0%,59.1%,0.5163,0.2492,0.0926
25,Newcastle,Brentford,2-3,A,H,39.3%,26.4%,33.4%,1.0887,0.6684,0.2986
25,Brighton,Crystal Palace,0-1,A,H,44.1%,31.0%,24.6%,1.3978,0.8588,0.381
25,Liverpool,Man City,1-2,A,A,34.2%,26.9%,38.1%,0.9568,0.5717,0.2491
26,Chelsea,Leeds,2-2,D,H,47.1%,27.1%,25.1%,1.298,0.8172,0.1444
26,Everton,Bournemouth,1-2,A,H,35.4%,29.1%,35.0%,1.0446,0.6321,0.2733
26,Tottenham,Newcastle,1-2,A,A,33.7%,24.9%,40.0%,0.9029,0.5343,0.2352
26,West Ham,Man United,1-1,D,A,25.2%,24.2%,49.0%,1.4032,0.8827,0.1569
26,Aston Villa,Brighton,1-0,H,H,48.9%,28.1%,22.5%,0.7097,0.389,0.1547
26,Crystal Palace,Burnley,2-3,A,H,53.6%,27.9%,18.0%,1.7116,1.0404,0.4808
26,Man City,Fulham,3-0,H,H,59.3%,22.2%,16.4%,0.5011,0.2349,0.0916
26,Nott'm Forest,Wolves,0-0,D,H,45.5%,31.0%,23.3%,1.168,0.7369,0.1311
26,Sunderland,Liverpool,0-1,A,A,27.0%,29.8%,42.9%,0.8418,0.4861,0.1985
26,Brentford,Arsenal,1-1,D,A,17.5%,25.5%,56.0%,1.3578,0.9033,0.1758
27,Wolves,Arsenal,2-2,D,A,6.1%,18.8%,73.1%,1.6526,1.2141,0.2803
27,Aston Villa,Leeds,1-1,D,H,42.1%,29.3%,28.2%,1.2227,0.7564,0.1293
27,Brentford,Brighton,0-2,A,H,44.5%,29.7%,25.4%,1.3655,0.8431,0.3772
27,Chelsea,Burnley,1-1,D,H,69.0%,16.4%,9.4%,1.756,1.2242,0.2699
27,West Ham,Bournemouth,0-0,D,A,27.4%,23.8%,47.0%,1.4177,0.8812,0.1535
27,Man City,Newcastle,2-1,H,H,59.8%,21.2%,16.3%,0.4872,0.2243,0.0885
27,Crystal Palace,Wolves,1-0,H,H,43.6%,33.2%,23.1%,0.8278,0.4806,0.1851
27,Nott'm Forest,Liverpool,0-1,A,A,18.4%,26.8%,54.0%,0.6083,0.3151,0.1211
27,Sunderland,Fulham,1-3,A,H,36.2%,31.3%,32.3%,1.129,0.688,0.2947
27,Tottenham,Arsenal,1-4,A,A,10.0%,19.7%,67.8%,0.363,0.1439,0.0516
28,Everton,Man United,0-1,A,A,27.2%,31.7%,40.9%,0.8917,0.5232,0.2112
28,Wolves,Aston Villa,2-0,H,A,14.0%,26.9%,58.5%,1.96,1.1576,0.5422
28,Bournemouth,Sunderland,1-1,D,H,41.0%,29.7%,28.9%,1.2114,0.747,0.127
28,Burnley,Brentford,3-4,A,A,17.2%,23.8%,57.6%,0.5369,0.2611,0.1015
28,Liverpool,West Ham,5-2,H,H,53.0%,26.2%,20.0%,0.6264,0.327,0.1286
28,Newcastle,Everton,2-3,A,H,36.3%,31.2%,32.2%,1.13,0.6887,0.2954
28,Leeds,Man City,0-1,A,A,20.8%,26.9%,51.5%,0.6563,0.3492,0.1378
28,Brighton,Nott'm Forest,2-1,H,H,43.2%,33.2%,23.4%,0.8368,0.487,0.188
28,Fulham,Tottenham,2-1,H,H,46.1%,25.1%,27.5%,0.761,0.4261,0.1808
28,Man United,Crystal Palace,2-1,H,H,47.5%,28.7%,23.3%,0.7391,0.411,0.1638
29,Arsenal,Chelsea,2-1,H,H,59.6%,23.0%,15.7%,0.5002,0.2351,0.0902
29,Bournemouth,Brentford,0-0,D,H,38.0%,25.1%,35.5%,1.3669,0.8331,0.139
29,Everton,Burnley,2-0,H,H,53.7%,26.8%,18.8%,0.6141,0.3191,0.1232
29,Leeds,Sunderland,0-1,A,H,43.0%,32.6%,24.2%,1.4185,0.867,0.38
29,Wolves,Liverpool,2-1,H,A,15.3%,24.7%,58.9%,1.8651,1.1312,0.5345
29,Aston Villa,Chelsea,1-4,A,A,35.1%,28.7%,35.7%,1.025,0.6188,0.2677
29,Brighton,Arsenal,0-1,A,A,15.8%,25.9%,57.4%,0.5468,0.2713,0.1014
29,Fulham,West Ham,0-1,A,H,51.7%,24.0%,22.7%,1.4678,0.9279,0.4341
29,Man City,Nott'm Forest,2-2,D,H,66.7%,21.6%,10.1%,1.5144,1.0785,0.235
29,Newcastle,Man United,2-1,H,A,31.8%,25.0%,41.8%,1.1314,0.7028,0.3192
30,Tottenham,Crystal Palace,1-3,A,A,34.8%,29.9%,34.9%,1.0484,0.634,0.2719
30,Burnley,Bournemouth,0-0,D,A,17.5%,22.6%,57.9%,1.4678,0.9734,0.1906
30,Sunderland,Brighton,0-1,A,A,29.1%,35.3%,35.4%,1.0362,0.6264,0.2506
30,Arsenal,Everton,2-0,H,H,60.4%,26.4%,12.6%,0.4986,0.2409,0.0851
30,Chelsea,Newcastle,0-1,A,H,50.4%,23.1%,24.3%,1.3921,0.8862,0.4153
30,West Ham,Man City,1-1,D,A,14.4%,21.9%,61.6%,1.4963,1.0193,0.2085
30,Crystal Palace,Leeds,0-0,D,A,24.9%,32.4%,42.5%,1.1246,0.6995,0.1218
30,Man United,Aston Villa,3-1,H,H,40.2%,28.4%,30.9%,0.9059,0.5328,0.2257
30,Nott'm Forest,Fulham,0-0,D,A,27.0%,29.7%,42.9%,1.2111,0.7522,0.1296
30,Liverpool,Tottenham,1-1,D,H,57.6%,22.0%,18.0%,1.4905,0.9827,0.1913
31,Brentford,Wolves,2-2,D,H,46.8%,30.0%,22.9%,1.1999,0.7612,0.1365
31,Bournemouth,Man United,2-2,D,A,25.8%,28.0%,45.6%,1.2661,0.7931,0.1387
31,Brighton,Liverpool,2-1,H,A,28.1%,30.4%,41.2%,1.2678,0.7803,0.3436
31,Fulham,Burnley,3-1,H,H,51.3%,26.2%,21.6%,0.6577,0.3495,0.1398
31,Everton,Chelsea,3-0,H,A,23.0%,30.6%,46.1%,1.4663,0.8996,0.4026
