home_id,away_id,home_goals,away_goals,Auto_GW
18,15,1,2,21
2,17,3,2,21
3,16,3,0,21
7,1,0,0,21
8,19,1,1,21
9,6,2,1,21
12,4,1,1,21
5,13,2,2,21
14,10,4,3,21
0,11,0,0,21
