home_id,away_id,home_goals,away_goals,Auto_GW
1,11,4,2,37
13,15,3,2,37
3,7,2,2,37
8,16,1,3,37
10,4,1,0,37
19,9,1,1,37
14,18,3,1,37
0,5,1,0,37
2,12,1,1,37
6,17,2,1,37
